Date,Open,High,Low,Close,Volume
"Feb. 17, 2023",407.95,409.39,405.95,409.14,"2,039,030"
"Feb. 16, 2023",410.74,414.82,410.08,410.28,"3,347,288"
"Feb. 15, 2023",412.26,415.96,411.44,415.88,"2,969,115"
"Feb. 14, 2023",413.16,417.00,410.45,414.56,"4,222,803"
"Feb. 13, 2023",410.67,414.85,410.19,414.78,"3,757,214"
"Feb. 10, 2023",407.71,410.36,406.93,409.96,"2,655,938"
"Feb. 09, 2023",416.38,416.52,407.73,409.07,"3,378,847"
"Feb. 08, 2023",415.05,416.46,411.88,412.57,"2,872,002"
"Feb. 07, 2023",410.77,418.43,409.53,417.12,"5,584,762"
"Feb. 06, 2023",411.74,413.24,410.03,411.80,"2,578,974"
"Feb. 03, 2023",413.52,418.95,413.04,414.35,"4,385,968"
"Feb. 02, 2023",416.80,420.25,414.80,418.66,"4,883,296"
"Feb. 01, 2023",407.10,415.59,404.22,412.67,"5,194,565"
"Jan. 31, 2023",403.00,408.40,402.67,408.31,"6,121,226"
"Jan. 30, 2023",404.66,407.02,402.20,402.47,"3,457,432"
